instruction      opA      opB      result   status
1001010000001000,00000000,00000000,--------,-------1
1001010000011000,00000001,00000000,--------,------11
1001010000101000,00000010,00000000,--------,-----111
1001010000111000,00000011,00000000,--------,----1111
1001010001001000,00000100,00000000,--------,---11111
1001010001011000,00000101,00000000,--------,--111111
1001010001101000,00000110,00000000,--------,-1111111
1001010001111000,00000111,00000000,--------,11111111
1001010010001000,00000000,00000000,--------,11111110
1001010010011000,00000001,00000000,--------,11111100
1001010010101000,00000010,00000000,--------,11111000
1001010010111000,00000011,00000000,--------,11110000
1001010011001000,00000100,00000000,--------,11100000
1001010011011000,00000101,00000000,--------,11000000
1001010011101000,00000110,00000000,--------,10000000
1001010011111000,00000111,00000000,--------,00000000
0010010000000000,11111111,11111111,00000000,00000010
0010010000010001,11111111,11111111,00000000,00000010
0010010000100010,11111111,11111111,00000000,00000010
0010010000110011,11111111,11111111,00000000,00000010
0010010001000100,11111111,11111111,00000000,00000010
0010010001010101,11111111,11111111,00000000,00000010
0010010001100110,11111111,11111111,00000000,00000010
0010010001110111,11111111,11111111,00000000,00000010
0010010010001000,11111111,11111111,00000000,00000010
0010010010011001,11111111,11111111,00000000,00000010
0010010010101010,11111111,11111111,00000000,00000010
0010010010111011,11111111,11111111,00000000,00000010
0010010011001100,11111111,11111111,00000000,00000010
0010010011011101,11111111,11111111,00000000,00000010
0010010011101110,11111111,11111111,00000000,00000010
0010010011111111,11111111,11111111,00000000,00000010
0010011100000000,11111111,11111111,00000000,00000010
0010011100010001,11111111,11111111,00000000,00000010
0010011100100010,11111111,11111111,00000000,00000010
0010011100110011,11111111,11111111,00000000,00000010
0010011101000100,11111111,11111111,00000000,00000010
0010011101010101,11111111,11111111,00000000,00000010
0010011101100110,11111111,11111111,00000000,00000010
0010011101110111,11111111,11111111,00000000,00000010
0010011110001000,11111111,11111111,00000000,00000010
0010011110011001,11111111,11111111,00000000,00000010
0010011110101010,11111111,11111111,00000000,00000010
0010011110111011,11111111,11111111,00000000,00000010
0010011111001100,11111111,11111111,00000000,00000010
0010011111011101,11111111,11111111,00000000,00000010
0010011111101110,11111111,11111111,00000000,00000010
0010011111111111,11111111,11111111,00000000,00000010
1001010000011010,00000000,00000000,11111111,00010100
0000110000000000,00000000,00000000,00000000,00000010
0000110000000001,00000000,11111111,11111111,00010100
0000110000010001,11111111,11111111,11111110,00110101
0010010000000000,11111111,11111111,00000000,00100011
0010010000010001,11111110,11111110,00000000,00100011
1001011001001100,00000000,00011100,00011100,--------
1001011001001100,00000000,00000000,00000000,00100000
1001011000011010,00000000,00001010,00001010,--------
1001011000011010,00000000,00000000,00000000,00100000
0001110000100000,00000000,00011100,00011100,00000000
1001010000001000,00000000,00000000,--------,00000001
0001110000110001,00000000,00001010,00001011,00000000
0010010000000000,00011100,00011100,00000000,00000010
0010010000010001,00001010,00001010,00000000,00000010
0010010000100010,00011100,00011100,00000000,00000010
0010010000110011,00001011,00001011,00000000,00000010
1001011001011111,00000000,00011111,00011111,--------
1001011001011111,00000000,00000000,00000000,00000000
0110111100011111,00011111,11111111,11111111,00010100
1001011001011111,11111111,00011111,00011110,--------
1001011001011111,00000000,00000000,00000001,00000000
1001011000100001,00000001,00000001,00000010,--------
1001011000100001,00000000,00000000,00000000,00000000
0110111100011111,00011110,11111111,11111111,00010100
0010000001010001,00000000,11111111,00000000,00000010
0010000001010010,00000000,00000010,00000000,00000010
0010000001100001,00000000,11111111,00000000,00000010
0110111101111111,00000000,11111111,11111111,00010100
0110000010000000,00000000,00000000,00000000,00000010
0110000110011001,00000000,00011001,00011001,00000000
0110111110101111,00000000,11111111,11111111,00010100
0110000010110000,00000000,00000000,00000000,00000010
0110011011000101,00000000,01100101,01100101,00000000
0110111111011111,00000000,11111111,11111111,00010100
0110000011100000,00000000,00000000,00000000,00000010
0110100111110110,00000000,10010110,10010110,00010100
1001010100001010,00000000,00000000,11111111,00010100
0010010001010101,00000000,00000000,00000000,00000010
0110110101010111,00000000,11010111,11010111,00010100
0010100100100101,00000000,11010111,11010111,00010100
1001010100111010,00000000,00000000,11111111,00010100
0010010001010101,11010111,11010111,00000000,00000010
0110010101011011,00000000,01011011,01011011,00000000
0010100101010101,00000000,01011011,01011011,00000000
1001010101101010,00000000,00000000,11111111,00010100
0010010001010101,01011011,01011011,00000000,00000010
0110101101010100,00000000,10110100,10110100,00010100
0010100110000101,00000000,10110100,10110100,00010100
1001010110011010,00000000,00000000,11111111,00010100
